Object_ID,CODE,Elevation,Dates_Converted,Accumulative_Elevation
8032,AKQ0DZV,0,4/08/2015 0:00,
16576,AKQ0DZV,-14.2,16/08/2015 0:00,
25120,AKQ0DZV,1.4,28/08/2015 0:00,
8030,AKRSOT6,0,4/08/2015 0:00,
16574,AKRSOT6,-7.5,16/08/2015 0:00,
25118,AKRSOT6,6.4,28/08/2015 0:00,
7955,AKURUTY,0,4/08/2015 0:00,
16499,AKURUTY,11.2,16/08/2015 0:00,
25043,AKURUTY,17.3,28/08/2015 0:00,
7879,AKXR0UI,0,4/08/2015 0:00,
16423,AKXR0UI,-8.7,16/08/2015 0:00,
24967,AKXR0UI,3.6,28/08/2015 0:00,
8036,AKZJBOG,0,4/08/2015 0:00,
16580,AKZJBOG,-22.4,16/08/2015 0:00,
25124,AKZJBOG,-6.4,28/08/2015 0:00,
