Object_ID,CODE,Elevation,Dates_Converted,Accumulative_Elevation
8032,AKQ0DZV,0,4/08/2015 0:00,0.0
16576,AKQ0DZV,-14.2,16/08/2015 0:00,-14.2
25120,AKQ0DZV,1.4,28/08/2015 0:00,-12.799999999999999
8030,AKRSOT6,0,4/08/2015 0:00,0
16574,AKRSOT6,-7.5,16/08/2015 0:00,-7.5
25118,AKRSOT6,6.4,28/08/2015 0:00,-1.0999999999999996
7955,AKURUTY,0,4/08/2015 0:00,0
16499,AKURUTY,11.2,16/08/2015 0:00,11.2
25043,AKURUTY,17.3,28/08/2015 0:00,28.5
7879,AKXR0UI,0,4/08/2015 0:00,0
16423,AKXR0UI,-8.7,16/08/2015 0:00,-8.7
24967,AKXR0UI,3.6,28/08/2015 0:00,-5.1
8036,AKZJBOG,0,4/08/2015 0:00,0
16580,AKZJBOG,-22.4,16/08/2015 0:00,-22.4
25124,AKZJBOG,-6.4,28/08/2015 0:00,-28.799999999999997
